DE-Sa25	Landesdenkmalamt, Bibliothek im Bergwerk Reden
DE-Bre14	Leibniz-Zentrum für Marine Tropenforschung (ZMT) GmbH, Bibliothek
DE-1259	Hochschule für Musik Nürnberg, Bibliothek
DE-Re10	Museen der Stadt Regensburg, Bibliothek
DE-30-203	früher: Universität Frankfurt, Klinik für Psychiatrie, Psychosomatik und Psychotherapie, Sexualwissenschaftliche Bibliothek
DE-Frei207	Regierungspräsidium Stuttgart, Landesamt für Denkmalpflege, Dienstsitz Freiburg, Bibliothek
DE-H368	Buko-Archiv
DE-1265	Bibliothek Lübbenau - Vetschau
DE-1264	Gemeindebibliothek Glienicke/Nordbahn
DE-1268	Gemeindebibliothek Blankenfelde-Mahlow
ZDB-1-ANR	Annual Reviews Electronic Back Volume Collection [Archiv] [Nationallizenz]
DE-Erd1	Stadtarchiv Erding
DE-Gp2	Marktarchiv Garmisch-Partenkirchen
ZDB-1-OJD	Oxford Journals Digital Archive 1849-2010 [Nationallizenz]
DE-Ste9	Stadtarchiv Stendal
DE-1254	Stadtbibliothek Nidda
DE-82-009	ACCESS e.V. - Materials + Processes, Bibliothek
AT-UBG-SH	Universität Graz, Universitätsbibliothek, Fachbibliothek für Mathematik
DE-30-58	Universitätsbibliothek J. C. Senckenberg, BzG, Biblioteca Catalana
DE-1255	Stadtbibliothek Oelsnitz/Erzgebirge
DE-82-780	Operative Intensivmedizin Erwachsene, Bibliothek
DE-82-336	Lehrstuhl für Medizintechnik, Bibliothek
DE-F226	Amt für Lehrerbildung (AfL) Frankfurt am Main, Bibliothek Erwin-Stein-Haus
DE-Nrd1	Stadtarchiv Nördlingen
DE-Mdh1	Stadtarchiv Mindelheim
DE-Khb1	Marktarchiv Kühbach
DE-MUS-108812	Heimatmuseum Oettingen
DE-Pfr1	Gemeindearchiv Pfronten
DE-Dkb1	Stadtarchiv Dinkelsbühl
DE-Hst1	Stadtarchiv Höchstadt/A.
ZDB-1-EIO	Torrossa / Monografie [Nationallizenz]
ZDB-1-WBI	World Biographical Information System [Nationallizenz]
ZDB-1-DDR	U.S. Declassified Documents Online [Nationallizenz]
